dorms,banho,vagas,bairro,area,valor
4,5,2,6,270,1800000
4,4,2,6,205,1750000
2,3,1,6,195,850000
5,5,2,6,450,2950000
4,5,2,6,195,1750000
1,1,0,14,105,320000
4,5,2,6,212,1350000
4,5,2,6,210,1900000
4,1,2,6,180,1350000
4,1,1,6,160,1500000
4,4,3,6,313,1980000
3,4,1,6,150,1200000
2,3,1,6,255,1550000
3,1,1,1,120,280000
2,1,1,14,150,300000
4,4,1,6,280,1200000
4,5,2,6,250,1580000
4,1,1,6,160,1500000
8,1,4,5,278,599000
3,3,2,14,200,480000
3,4,1,6,181,850000
3,4,2,6,250,1300000
5,5,2,6,388,2400000
3,3,2,6,172,900000
4,2,6,5,250,1250000
3,4,2,6,180,1650000
5,6,6,6,300,2200000
4,2,1,12,288,260000
5,6,3,6,200,3800000
5,7,2,6,450,6500000
3,4,2,6,180,890000
4,5,2,6,196,870000
5,5,2,6,420,3500000
5,3,2,6,338,2800000
4,5,2,6,200,1200000
3,4,2,6,210,1300000
4,5,2,6,200,1600000
5,6,2,6,308,2650000
3,4,2,6,200,1200000
3,2,2,6,192,1000000
4,3,2,14,240,800000
2,4,1,6,176,890000
4,5,2,6,200,1700000
4,4,2,6,230,2150000
3,3,2,6,170,940000
3,4,2,6,160,1150000
3,1,2,14,150,510000
4,2,2,6,260,1800000
2,4,1,6,134,900000
2,5,1,6,216,2450000
4,5,2,6,230,4600000
3,4,1,6,230,1500000
4,5,2,6,290,1900000
4,5,2,6,250,1700000
4,2,1,14,150,1000000
3,1,2,6,193,730000
3,4,2,6,237,1500000
3,2,0,14,114,570000
2,2,1,4,75,330000
3,2,2,5,122,450000
2,5,1,6,248,2000000
2,5,1,6,250,1800000
3,1,1,4,100,280000
4,5,1,6,264,2200000
5,7,2,6,400,3000000
3,4,2,6,220,1800000
2,4,1,6,197,870000
4,1,2,6,200,1850000
3,2,1,6,144,890000
3,1,2,6,176,950000
4,3,0,1,170,300000
4,5,2,6,205,1630000
6,8,3,6,560,6250000
4,4,2,6,500,1550000
3,2,1,5,200,370000
4,6,1,6,180,2150000
4,4,2,6,200,700000
3,4,2,6,150,850000
2,2,1,5,70,179000
2,5,1,6,297,1740000
5,1,2,6,330,1800000
2,1,1,10,80,120000
5,6,2,6,225,1800000
2,1,1,4,69,139000
5,6,1,6,300,6500000
2,1,0,4,60,90000
2,1,0,4,60,172000
5,6,2,6,560,4000000
4,7,4,6,330,2600000
4,4,2,6,330,2800000
4,5,2,6,210,1500000
5,6,2,6,225,1800000
2,1,3,4,60,180000
4,5,2,6,218,1200000
4,4,3,4,150,450000
2,3,1,4,87,330000
5,6,2,6,288,1990000
3,3,2,1,120,380000
2,1,1,5,71,228000
5,6,2,6,560,4000000
4,2,1,6,178,980000
3,2,2,5,180,790000
4,5,4,6,350,2800000
5,1,2,5,230,1500000
3,1,2,5,186,997000
4,4,1,6,200,1280000
3,3,2,6,192,980000
2,2,1,5,79,190000
4,2,6,7,180,390000
3,4,1,6,160,850000
3,4,1,6,255,1550000
4,4,1,6,300,1740000
2,2,1,4,99,270000
4,2,1,6,240,1500000
3,3,2,6,190,890000
4,1,2,6,256,1500000
4,1,1,5,200,600000
5,7,4,6,388,2400000
4,3,2,6,240,1400000
3,1,0,5,150,730000
4,6,4,6,382,2800000
2,1,0,4,80,180000
3,2,2,4,100,238000
4,4,1,6,190,950000
3,3,1,6,150,1100000
2,1,0,4,53,185000
5,1,2,5,230,1500000
3,1,0,5,162,415000
3,1,3,4,129,370000
6,8,4,6,560,5650000
1,1,0,4,30,95000
2,1,1,4,70,170000
3,1,2,4,120,319000
1,2,0,5,120,550000
2,2,1,4,63,103000
2,2,1,10,68,155000
3,4,1,6,170,950000
4,5,2,6,190,900000
5,6,2,6,287,2200000
4,5,1,6,350,2200000
4,5,1,6,201,1480000
3,5,3,6,154,450000
4,2,2,5,200,480000
3,3,3,5,160,830000
3,4,2,6,205,920000
3,2,2,14,179,630000
2,2,1,4,98,255000
3,2,1,11,125,290000
4,5,2,6,180,890000
4,4,3,5,321,1300000
4,3,2,5,209,398000
3,3,1,10,200,260000
2,1,1,6,119,469000
2,2,3,5,100,300000
3,5,2,6,160,890000
3,1,0,5,162,415000
4,4,2,6,330,2600000
5,5,2,5,363,2650000
6,8,2,6,560,6250000
2,1,0,4,47,154000
4,5,2,6,282,1980000
2,2,2,14,126,190000
2,1,1,4,60,138000
3,2,1,14,250,1150000
4,5,1,5,280,420000
3,5,3,5,154,450000
2,2,4,4,100,270000
4,1,4,4,137,756000
2,2,1,10,68,155000
2,1,0,4,70,165000
4,2,2,6,450,2000000
2,3,1,6,121,469000
2,1,2,5,60,250000
4,6,2,6,286,1600000
2,2,2,6,126,190000
4,4,3,6,321,1300000
2,1,0,5,70,149000
2,1,1,4,70,206000
4,7,2,6,295,2800000
4,3,2,4,165,550000
2,1,2,4,90,288000
3,4,2,6,170,890000
3,3,2,4,170,560000
3,1,1,4,90,90000
3,4,2,6,176,760000
1,2,0,5,120,550000
4,7,4,6,381,2800000
4,2,2,4,120,290000
4,2,3,4,240,700000
3,2,3,4,122,250000
